100 391
0 35 4
0 83 13
1 9 89
1 90 39
1 94 80
2 21 92
2 35 100
2 67 65
3 10 33
3 80 89
3 87 27
4 23 97
4 38 74
4 52 28
4 87 73
5 16 80
5 24 86
5 31 83
5 65 73
5 77 79
6 7 60
6 12 39
6 32 17
6 43 66
6 62 27
7 72 55
8 32 39
8 69 64
8 71 19
8 98 53
9 61 72
9 84 89
9 90 68
10 27 91
10 59 8
10 78 55
10 81 23
10 97 78
11 12 6
11 38 35
11 51 58
11 64 65
12 7 76
12 9 75
12 12 83
12 28 2
12 36 84
12 53 98
13 23 57
13 31 32
13 46 23
13 70 81
14 5 90
14 17 22
14 22 29
14 49 48
14 70 64
14 74 60
14 75 62
15 42 7
15 67 20
15 84 40
16 64 24
16 72 93
16 96 70
17 14 96
17 29 71
17 59 74
17 92 41
17 94 58
18 9 40
18 87 27
19 28 48
19 72 51
19 76 13
19 82 92
20 35 3
20 47 75
20 48 37
20 72 7
21 22 23
21 33 58
21 35 69
21 96 65
22 0 69
22 1 83
22 84 8
22 90 38
23 7 74
23 11 53
23 19 71
23 23 41
23 38 84
23 49 25
23 58 18
23 97 95
24 21 73
24 25 85
24 46 13
24 54 73
25 6 50
25 22 21
25 78 41
25 95 60
26 29 61
26 83 3
27 42 3
27 48 31
27 90 28
28 25 59
28 50 47
28 55 54
29 12 28
29 14 18
29 35 60
29 50 17
29 51 15
29 62 27
29 77 69
30 13 33
30 43 14
30 90 7
31 3 76
31 9 89
31 17 81
31 30 100
31 51 31
31 64 48
31 67 57
31 98 2
32 7 55
32 16 10
32 70 94
32 90 73
32 97 97
33 30 54
34 9 29
34 18 34
35 10 36
35 30 85
35 33 80
35 98 24
36 2 91
36 33 27
37 13 77
37 29 31
37 57 65
37 77 19
37 87 1
38 37 98
38 61 82
38 67 66
39 80 69
40 66 71
40 79 74
41 39 89
41 43 83
41 59 46
41 60 3
41 85 19
42 31 60
42 39 97
42 62 28
42 96 87
43 44 5
43 78 99
43 93 91
44 11 30
44 97 5
45 14 7
45 91 84
45 97 85
46 60 29
46 62 5
47 27 77
47 56 57
47 67 85
47 73 2
47 84 42
48 6 42
48 30 17
48 64 42
48 98 55
49 7 58
49 23 48
49 49 61
49 80 20
49 85 61
50 15 38
50 46 92
50 60 22
50 69 17
50 78 12
51 6 50
51 57 23
51 68 34
52 8 9
52 25 2
52 49 71
52 93 84
54 29 18
54 80 46
55 8 44
55 54 14
55 58 24
55 74 10
55 79 31
55 85 68
56 12 67
56 16 33
56 18 30
56 27 47
56 68 97
56 89 27
57 33 38
57 34 14
57 74 17
57 79 78
57 80 72
58 6 21
58 14 59
58 37 93
59 16 62
59 35 82
60 3 2
60 24 12
60 35 71
60 88 10
60 91 65
60 93 80
60 97 33
61 98 43
62 20 68
62 54 38
62 58 41
62 63 66
63 2 4
63 8 89
63 14 5
63 16 8
63 71 60
63 81 83
64 17 42
64 18 11
64 49 38
64 85 40
65 12 7
65 24 6
65 38 27
65 62 27
65 95 26
66 10 58
66 42 85
66 55 45
66 87 43
67 42 98
67 87 85
68 43 45
68 44 66
68 59 59
68 89 63
69 4 13
69 15 77
69 20 82
69 32 30
69 41 7
69 59 68
69 75 23
70 5 24
70 59 59
70 64 44
70 67 78
70 73 68
70 82 24
71 12 4
71 26 87
71 39 4
71 45 28
72 6 57
72 21 16
72 23 42
72 48 85
73 13 69
73 55 77
73 64 12
74 23 24
74 38 51
74 42 91
74 74 33
75 39 91
75 84 66
75 85 90
76 5 44
76 7 99
76 11 80
76 27 19
76 50 72
77 15 15
77 21 13
77 31 73
77 39 59
77 48 68
77 82 79
77 87 75
77 92 20
77 96 7
78 60 57
79 47 33
79 68 68
80 26 78
80 35 63
80 42 77
80 57 98
80 88 67
81 3 22
81 7 56
81 37 55
81 72 98
81 87 60
81 93 62
82 48 79
82 64 90
82 73 9
83 9 58
83 52 42
83 71 13
83 82 53
83 88 36
83 92 81
84 15 75
84 20 93
84 25 29
84 27 83
85 33 85
85 36 87
85 83 39
85 91 3
86 17 95
86 22 22
86 34 59
86 36 77
86 94 31
87 11 74
87 32 85
87 74 3
87 77 29
87 85 3
87 87 83
87 91 64
87 93 61
87 97 74
88 13 23
88 29 62
88 34 36
88 48 52
88 66 76
88 67 5
89 19 45
89 82 31
90 16 43
90 33 12
90 67 42
90 91 24
91 28 10
91 29 61
91 53 78
91 85 33
91 92 83
91 93 19
92 63 31
92 76 11
93 20 39
93 34 95
93 47 89
93 63 12
93 90 51
93 98 69
94 48 71
94 83 22
95 13 6
95 32 59
95 72 85
95 94 68
96 7 42
96 42 46
97 50 61
97 65 94
97 91 41
98 36 4
98 41 4
98 86 79
